graph family: path
samples per experiment: 1000000
walk lazily: false
-------------------------------------------------
len =  31, t_par =    2157.19, t_ser =    1779.40, ratio = 0.825, v_0 = 2
len =  31, t_par =    2147.81, t_ser =    1774.30, ratio = 0.826, v_0 = 3
len =  31, t_par =    2138.79, t_ser =    1767.50, ratio = 0.826, v_0 = 4
len =  31, t_par =    2121.42, t_ser =    1759.28, ratio = 0.829, v_0 = 5
len =  31, t_par =    2103.33, t_ser =    1746.39, ratio = 0.830, v_0 = 6
len =  31, t_par =    2075.27, t_ser =    1732.26, ratio = 0.835, v_0 = 7
len =  31, t_par =    2038.12, t_ser =    1712.87, ratio = 0.840, v_0 = 8
len =  31, t_par =    1989.38, t_ser =    1687.46, ratio = 0.848, v_0 = 9
len =  31, t_par =    1923.10, t_ser =    1645.30, ratio = 0.856, v_0 = 10
len =  31, t_par =    1830.94, t_ser =    1577.33, ratio = 0.861, v_0 = 11
len =  31, t_par =    1700.38, t_ser =    1466.61, ratio = 0.863, v_0 = 12
len =  31, t_par =    1537.00, t_ser =    1316.01, ratio = 0.856, v_0 = 13
len =  31, t_par =    1382.86, t_ser =    1171.69, ratio = 0.847, v_0 = 14
len =  31, t_par =    1319.95, t_ser =    1109.86, ratio = 0.841, v_0 = 15
len =  31, t_par =    1383.34, t_ser =    1172.09, ratio = 0.847, v_0 = 16
-------------------------------------------------
len =  34, t_par =    2682.54, t_ser =    2213.08, ratio = 0.825, v_0 = 0
len =  34, t_par =    2679.76, t_ser =    2213.69, ratio = 0.826, v_0 = 1
len =  34, t_par =    2679.88, t_ser =    2210.01, ratio = 0.825, v_0 = 2
len =  34, t_par =    2671.64, t_ser =    2203.68, ratio = 0.825, v_0 = 3
len =  34, t_par =    2663.00, t_ser =    2198.16, ratio = 0.825, v_0 = 4
len =  34, t_par =    2647.20, t_ser =    2189.29, ratio = 0.827, v_0 = 5
len =  34, t_par =    2629.08, t_ser =    2176.68, ratio = 0.828, v_0 = 6
len =  34, t_par =    2600.80, t_ser =    2163.29, ratio = 0.832, v_0 = 7
len =  34, t_par =    2569.84, t_ser =    2145.81, ratio = 0.835, v_0 = 8
len =  34, t_par =    2528.35, t_ser =    2124.09, ratio = 0.840, v_0 = 9
len =  34, t_par =    2470.95, t_ser =    2095.21, ratio = 0.848, v_0 = 10
len =  34, t_par =    2399.74, t_ser =    2050.10, ratio = 0.854, v_0 = 11
len =  34, t_par =    2298.36, t_ser =    1978.84, ratio = 0.861, v_0 = 12
len =  34, t_par =    2160.98, t_ser =    1863.54, ratio = 0.862, v_0 = 13
len =  34, t_par =    1978.63, t_ser =    1702.44, ratio = 0.860, v_0 = 14
len =  34, t_par =    1785.15, t_ser =    1517.23, ratio = 0.850, v_0 = 15
len =  34, t_par =    1649.63, t_ser =    1391.00, ratio = 0.843, v_0 = 16
len =  34, t_par =    1652.25, t_ser =    1388.51, ratio = 0.840, v_0 = 17
-------------------------------------------------
len =  37, t_par =    3270.46, t_ser =    2696.59, ratio = 0.825, v_0 = 0
len =  37, t_par =    3271.06, t_ser =    2696.38, ratio = 0.824, v_0 = 1
len =  37, t_par =    3265.17, t_ser =    2693.79, ratio = 0.825, v_0 = 2
len =  37, t_par =    3258.46, t_ser =    2687.60, ratio = 0.825, v_0 = 3
len =  37, t_par =    3249.71, t_ser =    2681.07, ratio = 0.825, v_0 = 4
len =  37, t_par =    3236.33, t_ser =    2671.92, ratio = 0.826, v_0 = 5
len =  37, t_par =    3217.19, t_ser =    2660.75, ratio = 0.827, v_0 = 6
len =  37, t_par =    3195.92, t_ser =    2645.58, ratio = 0.828, v_0 = 7
len =  37, t_par =    3163.55, t_ser =    2632.03, ratio = 0.832, v_0 = 8
len =  37, t_par =    3124.11, t_ser =    2612.39, ratio = 0.836, v_0 = 9
len =  37, t_par =    3076.19, t_ser =    2584.44, ratio = 0.840, v_0 = 10
len =  37, t_par =    3014.36, t_ser =    2553.10, ratio = 0.847, v_0 = 11
len =  37, t_par =    2933.77, t_ser =    2505.52, ratio = 0.854, v_0 = 12
len =  37, t_par =    2825.06, t_ser =    2433.77, ratio = 0.861, v_0 = 13
len =  37, t_par =    2682.18, t_ser =    2315.67, ratio = 0.863, v_0 = 14
len =  37, t_par =    2487.34, t_ser =    2145.08, ratio = 0.862, v_0 = 15
len =  37, t_par =    2262.37, t_ser =    1930.42, ratio = 0.853, v_0 = 16
len =  37, t_par =    2064.84, t_ser =    1741.92, ratio = 0.844, v_0 = 17
len =  37, t_par =    1984.19, t_ser =    1663.36, ratio = 0.838, v_0 = 18
len =  37, t_par =    2064.53, t_ser =    1740.59, ratio = 0.843, v_0 = 19
-------------------------------------------------
len =  41, t_par =    4155.00, t_ser =    3421.49, ratio = 0.823, v_0 = 0
len =  41, t_par =    4154.35, t_ser =    3420.43, ratio = 0.823, v_0 = 1
len =  41, t_par =    4152.17, t_ser =    3420.80, ratio = 0.824, v_0 = 2
len =  41, t_par =    4140.46, t_ser =    3414.96, ratio = 0.825, v_0 = 3
len =  41, t_par =    4133.95, t_ser =    3407.75, ratio = 0.824, v_0 = 4
len =  41, t_par =    4124.23, t_ser =    3398.84, ratio = 0.824, v_0 = 5
len =  41, t_par =    4105.27, t_ser =    3386.53, ratio = 0.825, v_0 = 6
len =  41, t_par =    4081.03, t_ser =    3373.95, ratio = 0.827, v_0 = 7
len =  41, t_par =    4051.49, t_ser =    3357.82, ratio = 0.829, v_0 = 8
len =  41, t_par =    4016.96, t_ser =    3340.14, ratio = 0.832, v_0 = 9
len =  41, t_par =    3973.22, t_ser =    3319.33, ratio = 0.835, v_0 = 10
len =  41, t_par =    3921.39, t_ser =    3293.09, ratio = 0.840, v_0 = 11
len =  41, t_par =    3853.77, t_ser =    3256.32, ratio = 0.845, v_0 = 12
len =  41, t_par =    3771.58, t_ser =    3214.08, ratio = 0.852, v_0 = 13
len =  41, t_par =    3666.67, t_ser =    3143.38, ratio = 0.857, v_0 = 14
len =  41, t_par =    3526.94, t_ser =    3041.21, ratio = 0.862, v_0 = 15
len =  41, t_par =    3339.78, t_ser =    2888.41, ratio = 0.865, v_0 = 16
len =  41, t_par =    3098.43, t_ser =    2668.76, ratio = 0.861, v_0 = 17
len =  41, t_par =    2827.81, t_ser =    2411.93, ratio = 0.853, v_0 = 18
len =  41, t_par =    2599.23, t_ser =    2188.96, ratio = 0.842, v_0 = 19
len =  41, t_par =    2509.99, t_ser =    2100.55, ratio = 0.837, v_0 = 20
len =  41, t_par =    2604.15, t_ser =    2190.28, ratio = 0.841, v_0 = 21
-------------------------------------------------
len =  45, t_par =    5151.58, t_ser =    4244.53, ratio = 0.824, v_0 = 0
len =  45, t_par =    5157.28, t_ser =    4245.12, ratio = 0.823, v_0 = 1
len =  45, t_par =    5149.69, t_ser =    4240.79, ratio = 0.824, v_0 = 2
len =  45, t_par =    5145.86, t_ser =    4234.81, ratio = 0.823, v_0 = 3
len =  45, t_par =    5138.34, t_ser =    4229.53, ratio = 0.823, v_0 = 4
len =  45, t_par =    5123.82, t_ser =    4221.31, ratio = 0.824, v_0 = 5
len =  45, t_par =    5107.59, t_ser =    4206.52, ratio = 0.824, v_0 = 6
len =  45, t_par =    5085.30, t_ser =    4197.81, ratio = 0.825, v_0 = 7
len =  45, t_par =    5057.81, t_ser =    4180.74, ratio = 0.827, v_0 = 8
len =  45, t_par =    5029.14, t_ser =    4163.82, ratio = 0.828, v_0 = 9
len =  45, t_par =    4987.75, t_ser =    4141.90, ratio = 0.830, v_0 = 10
len =  45, t_par =    4937.57, t_ser =    4119.93, ratio = 0.834, v_0 = 11
len =  45, t_par =    4879.36, t_ser =    4094.45, ratio = 0.839, v_0 = 12
len =  45, t_par =    4813.38, t_ser =    4055.99, ratio = 0.843, v_0 = 13
len =  45, t_par =    4725.04, t_ser =    4012.77, ratio = 0.849, v_0 = 14
len =  45, t_par =    4617.39, t_ser =    3953.42, ratio = 0.856, v_0 = 15
len =  45, t_par =    4481.57, t_ser =    3857.62, ratio = 0.861, v_0 = 16
len =  45, t_par =    4308.76, t_ser =    3719.74, ratio = 0.863, v_0 = 17
len =  45, t_par =    4075.85, t_ser =    3522.09, ratio = 0.864, v_0 = 18
len =  45, t_par =    3784.52, t_ser =    3254.32, ratio = 0.860, v_0 = 19
len =  45, t_par =    3467.78, t_ser =    2946.93, ratio = 0.850, v_0 = 20
len =  45, t_par =    3210.79, t_ser =    2695.50, ratio = 0.840, v_0 = 21
len =  45, t_par =    3103.10, t_ser =    2595.09, ratio = 0.836, v_0 = 22
len =  45, t_par =    3209.92, t_ser =    2694.27, ratio = 0.839, v_0 = 23
-------------------------------------------------
len =  50, t_par =    6577.29, t_ser =    5414.21, ratio = 0.823, v_0 = 0
len =  50, t_par =    6574.00, t_ser =    5406.74, ratio = 0.822, v_0 = 1
len =  50, t_par =    6566.79, t_ser =    5406.81, ratio = 0.823, v_0 = 2
len =  50, t_par =    6565.25, t_ser =    5402.74, ratio = 0.823, v_0 = 3
len =  50, t_par =    6555.55, t_ser =    5397.08, ratio = 0.823, v_0 = 4
len =  50, t_par =    6544.09, t_ser =    5384.56, ratio = 0.823, v_0 = 5
len =  50, t_par =    6527.68, t_ser =    5373.66, ratio = 0.823, v_0 = 6
len =  50, t_par =    6509.77, t_ser =    5364.16, ratio = 0.824, v_0 = 7
len =  50, t_par =    6486.09, t_ser =    5348.22, ratio = 0.825, v_0 = 8
len =  50, t_par =    6450.69, t_ser =    5328.76, ratio = 0.826, v_0 = 9
len =  50, t_par =    6415.39, t_ser =    5310.90, ratio = 0.828, v_0 = 10
len =  50, t_par =    6377.08, t_ser =    5287.41, ratio = 0.829, v_0 = 11
len =  50, t_par =    6325.71, t_ser =    5260.99, ratio = 0.832, v_0 = 12
len =  50, t_par =    6262.75, t_ser =    5235.77, ratio = 0.836, v_0 = 13
len =  50, t_par =    6189.47, t_ser =    5202.09, ratio = 0.840, v_0 = 14
len =  50, t_par =    6105.00, t_ser =    5154.27, ratio = 0.844, v_0 = 15
len =  50, t_par =    6000.09, t_ser =    5104.23, ratio = 0.851, v_0 = 16
len =  50, t_par =    5872.10, t_ser =    5026.04, ratio = 0.856, v_0 = 17
len =  50, t_par =    5711.31, t_ser =    4922.05, ratio = 0.862, v_0 = 18
len =  50, t_par =    5511.96, t_ser =    4769.04, ratio = 0.865, v_0 = 19
len =  50, t_par =    5250.52, t_ser =    4545.57, ratio = 0.866, v_0 = 20
len =  50, t_par =    4919.54, t_ser =    4244.36, ratio = 0.863, v_0 = 21
len =  50, t_par =    4545.52, t_ser =    3881.24, ratio = 0.854, v_0 = 22
len =  50, t_par =    4198.16, t_ser =    3538.26, ratio = 0.843, v_0 = 23
len =  50, t_par =    3979.36, t_ser =    3324.04, ratio = 0.835, v_0 = 24
len =  50, t_par =    3985.84, t_ser =    3324.37, ratio = 0.834, v_0 = 25
-------------------------------------------------
len =  55, t_par =    8191.95, t_ser =    6738.30, ratio = 0.823, v_0 = 0
len =  55, t_par =    8189.95, t_ser =    6737.31, ratio = 0.823, v_0 = 1
len =  55, t_par =    8190.85, t_ser =    6729.89, ratio = 0.822, v_0 = 2
len =  55, t_par =    8180.39, t_ser =    6731.21, ratio = 0.823, v_0 = 3
len =  55, t_par =    8172.69, t_ser =    6722.36, ratio = 0.823, v_0 = 4
len =  55, t_par =    8157.16, t_ser =    6708.47, ratio = 0.822, v_0 = 5
len =  55, t_par =    8140.95, t_ser =    6701.39, ratio = 0.823, v_0 = 6
len =  55, t_par =    8121.60, t_ser =    6684.98, ratio = 0.823, v_0 = 7
len =  55, t_par =    8095.04, t_ser =    6668.53, ratio = 0.824, v_0 = 8
len =  55, t_par =    8072.95, t_ser =    6655.99, ratio = 0.824, v_0 = 9
len =  55, t_par =    8038.07, t_ser =    6634.12, ratio = 0.825, v_0 = 10
len =  55, t_par =    7992.47, t_ser =    6613.42, ratio = 0.827, v_0 = 11
len =  55, t_par =    7952.05, t_ser =    6587.67, ratio = 0.828, v_0 = 12
